word;meaning
baka-rampa-sino;backslash, escape sign, reverse slash, backslant, reverse slant, \
baka;back (body + adv), rear side, backward, behind
balansa;balance, equilibrium, a scale, balanced, fair
balena;whale, dolphin, porpoise, cetacean
balo;ball, a spherical object, roll
balon;balloon
balu;bear (animal)
banana;banana
banda;band, strip, ribbon, tape, stripe
bandera;flag, banner
Bangla;Bengali, Bangla
Banglades;Bangladesh
banka;bank, bench, river bank, financial institution
bano;bath, bathe
baraje;barrage, dam, block, impede, obstruct, hinder
Barbari;Berber (languages, people), Tamazight, Amazigh (languages, people), Imazighen
bari;weight, weigh, heavy
Barselona;Barcelona
basara;market, bazaar, fair, to shop
base;base, foundation, ground, floor, basis, fundamental
basilo-fobo;mysophobia, verminophobia, germophobia, germaphobia, bacillophobia, bacteriophobia
basilo;bacteria, bacillus, germ, microbe
Bask-lan;Basque Country, Euskadi, País Vasco, Basque Autonomous Community
bata;beat, fight, battle
batisa;dip, dunk, immerse, baptise, baptism
baton;stick, rod
bebe;baby
begin;start, initial, beginning
bela;beautiful, beauty, beautify
beli;stomach, belly, abdomen
Belin-muro;Berlin Wall
Belin;Berlin (Germany)
benda;bend, curve, flex
bene;benefit, advantage, perk, beneficial
bensin;fuel, gasoline, benzene
beri;berry, grape, olive
beso;kiss
besonde;special, especially, particular, exceptional
bete;monster, beast, beastly
beton;cement, concrete, pave
Bianka-kasa;White House (place)
bianka-kera-veji;parsnip
bianka-rondo-radika-veji;turnip
bianka;white
bibe;drink
biju;jewel, gem, jewelry
bike;bicycle
biko;beak, to peck, spout
bileta;ticket, a pass, bill, banknote
bira;beer, ale
bisi;hurry, rush, haste, busy
bisinesa-man;businessman, business person
bisinesa;business, company, negotiate, conduct business
bitume;tar, pitch, bitumen
boba;bubble, boil
bodi-peso;organ (body)
bodi;body
bogen;arch, vault, bow (weapon)
boka;mouth
bola;bowl
boli;glass, crystal, a transparent material
bomba;bomb
bon-aroma;tasty, pleasant smell
bon-eleki-peso;proton (atom)
bon-neso;goodness
bon-veni;welcome (see 'en-salu')
bon;good
bore;boring, bore, tedium
boroda;beard, facial hair
Boston;Boston
botega;shop, store, boutique
botelo;bottle
boton-taba;keyboard
boton;button, pressbutton, knob, stud
bovi-siren;cowbell
bovi;cow, bovine, steer, ox, bison, buffalo
Brasil;Brazil
Britan;Britain, UK, United Kingdom
buku;book
bulu;blue
buo-navi;hovercraft
buo;float, buoy, buoyant, a float
butero;butter, buttery
da-ma-bon-labora;magnum opus
da-ma-impotan-manja;dinner, supper
da-ma-impotan;main
da-ma;majority (amount)
da-meno;minority (amount)
da;that, there, would
dalili;evidence, proof, demonstration, testimony
danja;danger, dangerous
danke;thanks, to thank, thankful
Danmak;Denmark, Danmark
dansa;dance
dare;dare, daring, bold, brave, to challenge
de;from, of, about, by, out of, made of, marks past tense
Deanmingu;South Korea, Republic of Korea, ROK, south koreans
debate;argue, debate, dispute, argument
debe;should, obligation
debile;weak, weakness, feeble
defende;defend, guard, protect, protection, defense
degu;disgust, disgusting, revulsion, sicken, gore
deja;already, by now/then
dekora;decorate, ornamentation, adorn, fancy
Delauer;Delaware
deluje-fobo;antlophobia
deluje;flood, torrent, inundate, overwhelm, overwhelming
demo;demonstration, indicate, show
demon;devil, demon, diabolical
den;then, in that case
denta-materi;ivory
denta-medika-fobo;dentophobia
denta-medika-man;dentist
denta;tooth, teeth, bite
deo;god, divine
dereka;right (direction + moral + legal), straight, orthodox (prefer 'dereko', 'reka')
dereko;correct, just, right (moral), human right
deside;decide, decision, adjudicate, resolve, settle
desini-evento;example
desini;design, sketch, blueprint, pattern
detali;detail, detailed, meticulous
deteki;detect, find, notice, discovery, discovery
develo-ruja-feruta;tomato
develo;develop, grow, growth, development
di-dia;today (see 'nun-dia')
di;this, here
dia-1;monday
dia-2;tuesday
dia-3;wednesday
dia-4;thursday
dia-5;friday
dia-6;saturday
dia-7;sunday
dia;day, date
diamante;diamond, adamant
difuse;spread, diffuse, diffusion
dijesi;digest, digestion
diji;finger, toe, digit
dika;fat, thick
dimenti-neso;forgiveness
dimenti;forget, forgive
dinosoro;dinosaur
dipa-bore;ennui
dipa-enejia;manic, mania
dipa-etudi;analysis
dipa-melankoli;depression (mood disorder)
dipa;deep, depth, profound
dire-abuso;humiliate
dire;say, tell, utter, recite, utterance, saying
direto;direction, orientation, guidance, course, direct, advice, advise
disipa;waste (use without good purpose), squander
dive;dive, plunge, submerge, sink
divi-man;separatist
divi;divide, split, division, separate
dogi-fobo;cynophobia
dogi;dog
Dolar;dollar, dollars
domo;home, domestic, reside, domesticate
dona-duka;attack, assault
dona-mala-name-man;critic (person)
dona-mala-name;criticize, criticise, condemn
dona;give, gift
doragon;dragon
dua;request, ask, prayer, invocation, plea, petition
dubi;doubt
duka-sige;persecution, witch hunt, harry
duka;suffer, pain, suffering, hurt, painful
dulo;slave, servant, serf, enslave
duo-numa;even (number)
Duo-rama-atlas-luna-pisi;Selene vomer
duo-ranko-go-fini;second to last, the one before the last one
duo-sesi;bisexual
duo;two, 2
duro-mone;coin, to mint coins
duro-safari;trek, arduous journey
duro-sujesi;insist
duro;hard, difficult, problem
dusa;shower, to shower, downpour
e;introduces adjectival & adverbial complement
Ebru;Hebrew
edu-man;teacher
edu;teach, educate, education, educated
efeto;effect, result, to effect, effective
egala;equal, equality, equation, equally
ego-ereki;independence
ego-man;owner
ego-mori;suicide
ego-sama-manja;autosarcophagy, self-cannibalism, autocannibalism
ego-seketa-pubili;dox, doxx, doxing, doxxing (prefer 'peribadi-pubili')
ego-seketa;private, privacy (prefer 'peribadi')
ego;self, own (adj)
Eire-linga;Irish (language)
Eire;Ireland, Éire, Airlann (see 'Ire-lan')
eki-kapa;emancipation
eki-mun;exit
eki-pota;export
eki;out, ex-, away, external
eko;echo, reflection
ekonomi;economy, economic, thrifty
Elas;Greece, Hellenic Republic (see 'Gris')
elasi;spring, coil, elastic, springy
elefante;elephant
Elefen;Elefen, Lingua Franca Nova
eleki-loke;website (see 'neto-foli', 'neto-loke')
eleki-metodo-uti;processor, processing unit, CPU
eleki-ventana;screen (electronic)
eleki;electric, electricity
eleti;elect, election, select, choose, selection
elika-poten-pin;screw, bolt
elika;helix, curl, twist, curly, spiral, coil, propeller, at sign, @
emo-name;interjection
emo;emotion, emotional, passionate, emote
en-fini;marginal
en-move;immigration
en-mun;entrance
en-pota;import
en-relate;adopt, adoption, adopted
en-salu;welcome (see 'bon-veni')
en-savi;convince, persuade, make someone else understand
en;in, at, on, marks progressive tense
Enak;ʿAnāq (not to be confused with 'Anak')
enejia;energy, energize, energetic
enemi;enemy, nemesis
Eng-lan;England
Engli;English (language, nationality)
enigema;puzzle, enigma, riddle
enkonte;meet, encounter, meeting
entero;intestines, bowel, entrails, gut
envi;envy, jealous
environ;environment, habitat, ambient, milieu
epigo;emergency, urgent, to urge, press for
erase-sesi-viro;eunuch
erase-sesi;desex, desexualize, castrate
erase;erase, erasure, remove, wipe away
ereki;to stand, upright, erect, straight
ero;error, mistake, err
